# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  118       3.586612020795e-10       1.398076326843e-13      -4.192183274629e-12       1.021091838854e-15       1.111501043190e-11       1.035695215903e-12      -6.637519399647e-15 
  119       3.622269253334e-10       1.411201269201e-13      -4.265685988504e-12       1.038727465089e-15       1.088068997687e-11       1.018290750758e-12      -6.548511331694e-15 
  120       3.658057973691e-10       1.423768357733e-13      -4.337996766231e-12       1.056535942988e-15       1.065284743228e-11       1.001287719748e-12      -6.465159771164e-15 
  121       3.693970714490e-10       1.435764324451e-13      -4.409047460988e-12       1.074518265448e-15       1.043139710775e-11       9.846828305192e-13      -6.386930355336e-15 
  122       3.729999058827e-10       1.447176313624e-13      -4.478769992038e-12       1.092675441312e-15       1.021621202598e-11       9.684700012079e-13      -6.313230515557e-15 
  123       3.766133612929e-10       1.457991897028e-13      -4.547096377774e-12       1.111008495421e-15       1.000712275325e-11       9.526402790756e-13      -6.243408090001e-15 
  124       3.802363978809e-10       1.468199089200e-13      -4.613958768763e-12       1.129518468658e-15       9.803916229772e-12       9.371817591476e-13      -6.176749936429e-15 
  125       3.838678726932e-10       1.477786362681e-13      -4.679289480797e-12       1.148206418006e-15       9.606334600167e-12       9.220795028500e-13      -6.112480544951e-15 
  126       3.875065368871e-10       1.486742663274e-13      -4.743021027933e-12       1.167073416592e-15       9.414074043884e-12       9.073154566465e-13      -6.049760650786e-15 
  127       3.911510329971e-10       1.495057425287e-13      -4.805086155544e-12       1.186120553735e-15       9.226783605631e-12       8.928683706762e-13      -5.987685847024e-15 
  128       3.947998922001e-10       1.502720586785e-13      -4.865417873361e-12       1.205348935003e-15       9.044064025810e-12       8.787137173907e-13      -5.925285197385e-15 
  129       3.984516960794e-10       1.509722985608e-13      -4.923950166933e-12       1.224759681465e-15       8.865555413269e-12       8.648294717757e-13      -5.861713412036e-15 
  130       4.021055877835e-10       1.516057564127e-13      -4.980620150050e-12       1.244353927267e-15       8.691213621926e-12       8.512143417599e-13      -5.796854157334e-15 
  131       4.057608120363e-10       1.521718326085e-13      -5.035366211991e-12       1.264132821883e-15       8.521062123895e-12       8.378713932554e-13      -5.730780616390e-15 
  132       4.094165541244e-10       1.526699985475e-13      -5.088127397809e-12       1.284097530930e-15       8.355105356329e-12       8.248023288112e-13      -5.663567856545e-15 
  133       4.130719383406e-10       1.530997984518e-13      -5.138843446226e-12       1.304249236208e-15       8.193328187575e-12       8.120074481936e-13      -5.595292827198e-15 
  134       4.167260264267e-10       1.534608511632e-13      -5.187454827542e-12       1.324589135749e-15       8.035695383327e-12       7.994856089667e-13      -5.526034357631e-15 
  135       4.203778160166e-10       1.537528519412e-13      -5.233902781527e-12       1.345118443855e-15       7.882151072779e-12       7.872341870735e-13      -5.455873154839e-15 
  136       4.240262390797e-10       1.539755742600e-13      -5.278129355327e-12       1.365838391147e-15       7.732618214784e-12       7.752490374159e-13      -5.384891801355e-15 
  137       4.276701603635e-10       1.541288716063e-13      -5.320077441361e-12       1.386750224606e-15       7.586998064005e-12       7.635244544358e-13      -5.313174753080e-15 
  138       4.313083758369e-10       1.542126792767e-13      -5.359690815226e-12       1.407855207620e-15       7.445169637070e-12       7.520531326952e-13      -5.240808337110e-15 
  139       4.349396111332e-10       1.542270161749e-13      -5.396914173591e-12       1.429154620026e-15       7.306989178726e-12       7.408261274574e-13      -5.167880749559e-15 
  140       4.385625199934e-10       1.541719866095e-13      -5.431693172103e-12       1.450649758153e-15       7.172289627997e-12       7.298328152669e-13      -5.094482053395e-15 
  141       4.421756827089e-10       1.540477820911e-13      -5.463974463287e-12       1.472341934868e-15       7.040880084333e-12       7.190608545308e-13      -5.020704176258e-15 
  142       4.457776045648e-10       1.538546831301e-13      -5.493705734441e-12       1.494232479620e-15       6.912545273768e-12       7.084961460985e-13      -4.946640908294e-15 
  143       4.493667142831e-10       1.535930610339e-13      -5.520835745545e-12       1.516322738485e-15       6.787045015072e-12       6.981227938433e-13      -4.872387899981e-15 
  144       4.529414994781e-10       1.532633827151e-13      -5.545314861823e-12       1.538613934010e-15       6.664165642305e-12       6.879267285582e-13      -4.798034471646e-15 
  145       4.565009313625e-10       1.528662218553e-13      -5.567096630630e-12       1.561106729103e-15       6.543881113087e-12       6.779070655210e-13      -4.723638136568e-15 
  146       4.600440791470e-10       1.524022522640e-13      -5.586136432795e-12       1.583801620034e-15       6.426206842566e-12       6.680657969117e-13      -4.649247550374e-15 
  147       4.635699760246e-10       1.518722467653e-13      -5.602391042298e-12       1.606699072013e-15       6.311148940089e-12       6.584042108362e-13      -4.574910425012e-15 
  148       4.670776184014e-10       1.512770790128e-13      -5.615818667013e-12       1.629799518434e-15       6.198703973947e-12       6.489228729609e-13      -4.500673479521e-15 
  149       4.705659651265e-10       1.506177253043e-13      -5.626378989449e-12       1.653103360107e-15       6.088858736135e-12       6.396216081464e-13      -4.426582390800e-15 
  150       4.740339367233e-10       1.498952663963e-13      -5.634033207498e-12       1.676610964501e-15       5.981590007106e-12       6.304994820819e-13      -4.352681744374e-15 
  151       4.774804146192e-10       1.491108893193e-13      -5.638744075173e-12       1.700322664980e-15       5.876864320523e-12       6.215547829195e-13      -4.279014985163e-15 
  152       4.809042403767e-10       1.482658891919e-13      -5.640475943353e-12       1.724238760041e-15       5.774637728015e-12       6.127850029080e-13      -4.205624368252e-15 
  153       4.843042149235e-10       1.473616710362e-13      -5.639194800530e-12       1.748359512554e-15       5.674855563932e-12       6.041868200270e-13      -4.132550909656e-15 
  154       4.876790977832e-10       1.463997515920e-13      -5.634868313548e-12       1.772685149000e-15       5.577452210096e-12       5.957560796216e-13      -4.059834337090e-15 
  155       4.910276063058e-10       1.453817611321e-13      -5.627465868347e-12       1.797215858708e-15       5.482350860563e-12       5.874877760357e-13      -3.987513040739e-15 
  156       4.943484148981e-10       1.443094452764e-13      -5.616958610711e-12       1.821951793094e-15       5.389463286368e-12       5.793760342471e-13      -3.915624024022e-15 
